n time_ms first_element last_element
1024 0.00079 -0.0872468 -30.5668
2048 0.00294 0.228032 4.64205
4096 0.00634 -0.426311 58.6338
8192 0.01484 -0.92337 -42.4265
16384 0.03096 0.10076 46.1457
32768 0.06166 -0.489579 202.721
65536 0.129361 -0.405444 -200.09
131072 0.335713 -0.962824 -63.2112
262144 0.593886 0.134702 -2.95063
524288 1.10074 0.188712 559.538
1048576 2.31985 0.363986 -857.176
2097152 4.46397 -0.103012 865.326
4194304 8.9466 0.274279 -1116.83
8388608 17.2491 -0.416817 -753.871
16777216 34.458 -0.32889 -1796.56
33554432 68.1012 -0.732508 447.816
67108864 131.79 -0.0228995 -7430.27
134217728 261.09 -0.357509 1311.6
268435456 609.585 -0.680484 7949.72
536870912 7911.3 0.510718 2575.41
1073741824 15442.8 0.959574 -12952
