n time_512 time_16 first_512 last_512 first_16 last_16
1024 0.018208 0.004832 -4.67549 0.299836 -4.67549 0.299836
2048 0.006144 0.004096 4.96283 -1.96804 4.96283 -1.96804
4096 0.006144 0.004096 -5.25602 6.26432 -5.25602 6.26432
8192 0.004096 0.003072 2.66249 0.157361 2.66249 0.157361
16384 0.003328 0.004096 0.128656 -0.147878 0.128656 -0.147878
32768 0.010688 0.010976 -2.14604 7.40511 -2.14604 7.40511
65536 0.007904 0.008672 4.94964 0.233767 4.94964 0.233767
131072 0.007232 0.011584 4.52185 -0.887347 4.52185 -0.887347
262144 0.00576 0.025056 -1.43232 -0.729296 -1.43232 -0.729296
524288 0.00832 0.035616 -0.317386 6.8325 -0.317386 6.8325
1048576 0.014144 0.069696 0.411886 -3.74493 0.411886 -3.74493
2097152 0.026112 0.131104 -5.77711 -0.15148 -5.77711 -0.15148
4194304 0.04624 0.244736 3.59061 -0.796689 3.59061 -0.796689
8388608 0.365632 0.593184 -0.287686 -3.73331 -0.287686 -3.73331
16777216 0.72304 1.16605 0.0319698 -2.83783 0.0319698 -2.83783
33554432 1.54813 2.32896 2.20359 1.13637 2.20359 1.13637
67108864 3.22083 4.65203 -2.10066 0.668399 -2.10066 0.668399
134217728 6.55123 9.26323 -0.00955457 3.90233 -0.00955457 3.90233
268435456 13.2752 13.7819 -0.782277 -4.69887 -0.782277 -4.69887
536870912 26.625 25.981 1.5517 -2.20998 1.5517 -2.20998
